date_key,season_id,weather_id,casual_count,registered_count,total_count,temp_c,atemp_c,humidity_pct,windspeed_mph
20110101,1,2,331,654,985,8.175849,7.99925,80.58330000000001,10.749882
20110102,1,2,131,670,801,9.083466000000001,7.3467740000000035,69.6087,16.652113
20110103,1,1,120,1229,1349,1.229108,-3.499270000000001,43.7273,16.636703
20110104,1,1,108,1454,1562,1.4000000000000004,-1.9999479999999998,59.0435,10.739832
20110105,1,1,82,1518,1600,2.6669789999999995,-0.8681800000000006,43.695699999999995,12.522300000000001
20110106,1,1,88,1518,1606,1.6043559999999992,-0.6082059999999991,51.8261,6.0008684
20110107,1,2,148,1362,1510,1.2365340000000007,-2.2166259999999998,49.8696,11.304642
20110108,1,2,68,891,959,-0.24499999999999922,-5.291236,53.5833,17.875868
20110109,1,1,54,768,822,-1.4983489999999993,-8.33245,43.416700000000006,24.25065
20110110,1,1,41,1280,1321,-0.9108490000000007,-6.041392,48.2917,14.958889
20110111,1,2,43,1220,1263,-0.0527230000000003,-3.3633760000000006,68.6364,8.182844000000001
20110112,1,1,25,1137,1162,0.11816899999999997,-5.408782,59.954499999999996,20.410009
20110113,1,1,38,1368,1406,-0.24499999999999922,-6.041722,47.0417,20.166999999999998
20110114,1,1,54,1367,1421,-0.43910999999999945,-3.5647420000000007,53.7826,8.478716
20110115,1,2,222,1026,1248,2.9666510000000006,0.3753920000000015,49.875,10.583521
20110116,1,1,251,953,1204,2.888349,-0.5416779999999992,48.375,12.625010999999999
20110117,1,2,117,883,1000,0.264151,-4.333113999999998,53.75,12.999139
20110118,1,2,9,674,683,2.1833489999999998,-0.6660219999999999,86.16669999999999,9.833924999999999
20110119,1,2,78,1572,1650,5.732177999999999,3.695852000000002,74.1739,13.957239
20110120,1,2,83,1844,1927,4.298349,0.8333000000000013,53.833299999999994,13.125568
20110121,1,1,75,1468,1543,0.34249999999999936,-5.583022,45.7083,23.667214
20110122,1,1,93,888,981,-5.2208711999999995,-10.7814064,40.0,11.52199
20110123,1,1,150,836,986,-3.4634801,-9.4766194,43.6522,16.5222
20110124,1,1,86,1330,1416,-3.4226089,-8.21662,49.173899999999996,10.60811
20110125,1,2,186,1799,1985,2.5034660000000013,-0.5212839999999996,61.695699999999995,8.696332
20110126,1,3,34,472,506,2.2225,-2.5624000000000002,86.25,19.68795
20110127,1,1,15,416,431,1.165000000000001,-1.4998000000000005,68.75,7.627078999999999
20110128,1,2,38,1129,1167,1.563466,-1.2610780000000013,79.30430000000001,8.2611
20110129,1,1,123,975,1098,1.2365340000000007,-1.9996840000000002,65.17389999999999,9.739455
20110130,1,1,140,956,1096,2.176534,0.5212520000000005,72.2174,4.956834199999999
20110131,1,2,42,1459,1501,0.49915099999999946,-3.7074999999999996,60.375,12.541864
20110201,1,2,47,1313,1360,1.032178,-0.52102,82.9565,3.565271
20110202,1,2,72,1454,1526,4.220000000000001,0.7915220000000005,77.5417,17.708636
20110203,1,1,61,1489,1550,0.7869790000000005,-4.260052,43.7826,18.609384
20110204,1,2,88,1620,1708,1.9312880000000003,-0.913257999999999,58.521699999999996,8.565213
20110205,1,2,100,905,1005,2.9666510000000006,0.041827999999998866,92.91669999999999,10.792293
20110206,1,1,354,1269,1623,5.434151,3.2502860000000027,56.833299999999994,9.5006
20110207,1,1,120,1592,1712,4.768348999999999,4.041428,73.83330000000001,3.0423561
20110208,1,1,64,1466,1530,2.3791510000000002,-2.9157639999999994,53.7917,24.25065
20110209,1,2,53,1552,1605,-1.6651990000000003,-6.477322000000001,49.4783,12.652213
20110210,1,1,47,1491,1538,-1.2156440000000002,-6.129832,43.7391,14.869645
20110211,1,1,149,1597,1746,0.887277000000001,-1.9084059999999994,50.6364,7.272849999999999
20110212,1,1,288,1184,1472,2.4574999999999996,-0.6250359999999997,54.4167,13.625589
20110213,1,1,397,1192,1589,6.876534000000001,5.391458,45.7391,17.479160999999998
20110214,1,1,208,1705,1913,11.504999999999999,10.2911,37.583299999999994,27.999836
20110215,1,1,140,1675,1815,4.506089000000001,0.7820840000000011,31.434800000000003,19.522058
20110216,1,1,218,1897,2115,6.958267000000001,4.869199999999999,42.3478,16.869996999999998
